Cards,Move History,Outcome
"6, 3, 7, 4, 7, 2, 5, 1, 9, 2, 7, 3, 12, 1","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'raises 110 to 210'), (5, 'folds'), (0, 'folds'), (1, 'calls 160'), (2, 'folds'), (1, 'checks'), (4, 'checks'), (1, 'checks'), (4, 'checks'), (1, 'bets 230'), (4, 'folds')]",0
"7, 1, 13, 1, 7, 4, 9, 3, 10, 3, 2, 3","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'raises 110 to 210'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'calls 110'), (3, 'checks'), (4, 'bets 235'), (3, 'calls 235'), (3, 'checks'), (4, 'bets 600'), (3, 'folds')]",0
"7, 3, 8, 1","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds')]",0
"4, 4, 9, 4, 3, 2, 6, 1, 9, 2, 5, 4","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'raises 125 to 225'), (2, 'folds'), (3, 'folds'), (4, 'calls 175'), (5, 'calls 125'), (4, 'bets 170'), (5, 'folds'), (1, 'calls 170'), (4, 'bets 600'), (1, 'folds')]",0
"2, 3, 5, 3, 7, 3, 1, 1, 10, 1, 2, 4, 9, 1","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'raises 150 to 250'), (4, 'folds'), (5, 'calls 200'), (0, 'folds'), (5, 'checks'), (3, 'checks'), (5, 'checks'), (3, 'bets 400'), (5, 'raises 1050 to 1450'), (3, 'calls 1050'), (5, 'bets 3500'), (3, 'folds')]",0
"2, 3, 1, 3","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'folds')]",0
"1, 4, 3, 2, 13, 1, 4, 2, 9, 2","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'folds'), (2, 'calls 100'), (2, 'checks'), (0, 'bets 450'), (2, 'folds')]",1
"9, 1, 7, 1","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'raises 110 to 210'), (5, 'raises 427 to 637'), (0, 'folds'), (1, 'folds'), (2, 'raises 1463 to 2100'), (3, 'folds'), (4, 'folds'), (5, 'folds')]",0
"13, 3, 6, 2, 2, 2, 10, 4, 8, 3","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'raises 175 to 275'), (2, 'folds'), (3, 'folds'), (4, 'calls 175'), (4, 'checks'), (1, 'bets 305'), (4, 'raises 645 to 950'), (1, 'folds')]",0
"2, 4, 3, 2, 8, 1, 1, 1, 13, 4, 4, 4, 11, 1","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'calls 50'), (5, 'checks'), (4, 'bets 100'), (5, 'calls 100'), (4, 'checks'), (5, 'checks'), (4, 'bets 100'), (5, 'calls 100'), (4, 'shows [Jd Kc]')]",0
"13, 4, 12, 1, 4, 2, 6, 4, 10, 1","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'raises 150 to 250'), (4, 'folds'), (5, 'folds'), (0, 'calls 150'), (0, 'checks'), (3, 'bets 300'), (0, 'folds')]",0
"4, 1, 1, 3, 5, 2, 6, 1, 2, 1, 3, 1, 11, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'calls 50'), (1, 'checks'), (0, 'checks'), (1, 'bets 130'), (0, 'calls 130'), (0, 'checks'), (1, 'bets 300'), (0, 'calls 300'), (0, 'checks'), (1, 'checks'), (0, 'shows [4h Ac]')]",1
"1, 2, 10, 2, 6, 2, 6, 1, 5, 3, 3, 1, 10, 3","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'raises 150 to 250'), (4, 'folds'), (5, 'folds'), (0, 'calls 250'), (1, 'folds'), (2, 'calls 150'), (2, 'checks'), (3, 'checks'), (0, 'checks'), (2, 'checks'), (3, 'checks'), (0, 'checks'), (2, 'checks'), (3, 'checks'), (0, 'bets 800'), (2, 'folds'), (3, 'folds')]",1
"7, 2, 4, 2, 4, 3, 3, 2, 5, 1, 12, 3","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'raises 110 to 210'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'calls 110'), (3, 'checks'), (4, 'checks'), (3, 'bets 400'), (4, 'folds')]",0
"9, 4, 12, 4, 3, 4, 3, 2, 1, 2, 12, 3, 10, 2","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'calls 200'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (0, 'checks'), (1, 'checks'), (0, 'checks'), (1, 'checks'), (0, 'checks'), (1, 'checks'), (0, 'shows [9s Qs]')]",1
"6, 4, 12, 2, 9, 4, 1, 2, 1, 3","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'calls 250'), (4, 'folds'), (5, 'calls 150'), (5, 'checks'), (2, 'checks'), (3, 'bets 300'), (5, 'folds'), (2, 'folds')]",0
"3, 1, 6, 3","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'raises 150 to 250'), (4, 'folds'), (5, 'folds'), (0, 'folds')]",0
"6, 3, 5, 2, 5, 4, 7, 4, 12, 2, 5, 3, 11, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'calls 50'), (1, 'checks'), (0, 'checks'), (1, 'bets 150'), (0, 'calls 150'), (0, 'checks'), (1, 'checks'), (0, 'bets 750'), (1, 'folds')]",1
"3, 1, 8, 4, 12, 1, 6, 3, 10, 2, 7, 2, 7, 3","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 50'), (2, 'checks'), (1, 'checks'), (2, 'checks'), (1, 'checks'), (2, 'checks'), (1, 'bets 150'), (2, 'calls 150'), (1, 'shows [7h Kh]')]",0
"10, 1, 5, 4, 2, 4, 12, 4, 9, 3","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'raises 200 to 300'), (3, 'calls 200'), (2, 'checks'), (3, 'bets 450'), (2, 'folds')]",0
"3, 2, 2, 4","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'raises 150 to 250'), (2, 'raises 675 to 925'), (3, 'folds'), (4, 'folds'), (1, 'folds')]",0
"1, 2, 5, 1","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'folds')]",0
"1, 2, 5, 1, 3, 4, 11, 3, 5, 2, 5, 4, 13, 3","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'calls 150'), (0, 'checks'), (2, 'bets 250'), (0, 'calls 250'), (0, 'bets 262'), (2, 'calls 262'), (0, 'bets 4722'), (2, 'folds')]",1
"8, 3, 2, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'raises 175 to 275'), (0, 'folds'), (1, 'folds')]",0
"8, 1, 4, 4, 1, 3, 9, 3, 1, 1, 11, 4","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 50'), (2, 'checks'), (1, 'checks'), (2, 'checks'), (1, 'bets 150'), (2, 'folds')]",0
"6, 3, 4, 1, 11, 3, 12, 2, 9, 2, 2, 1, 2, 3","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'raises 200 to 300'), (3, 'calls 200'), (2, 'checks'), (3, 'checks'), (2, 'checks'), (3, 'checks'), (2, 'bets 375'), (3, 'raises 675 to 1050'), (2, 'folds')]",0
"6, 3, 5, 2","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'folds')]",0
"6, 1, 10, 3","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'raises 150 to 250'), (4, 'folds'), (5, 'folds')]",0
"2, 1, 6, 3","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'raises 150 to 250'), (5, 'folds'), (0, 'folds')]",0
"10, 3, 4, 1, 7, 3, 3, 1, 11, 4, 6, 1","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'raises 175 to 275'), (0, 'folds'), (1, 'calls 175'), (1, 'checks'), (5, 'checks'), (1, 'checks'), (5, 'bets 450'), (1, 'raises 1125 to 1575'), (5, 'folds')]",0
"10, 3, 1, 4","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'raises 150 to 250'), (0, 'raises 487 to 737'), (1, 'folds'), (2, 'folds'), (5, 'folds')]",1
"2, 2, 1, 3, 11, 2, 5, 4, 3, 3, 5, 3, 5, 2","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'raises 110 to 210'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'calls 110'), (3, 'checks'), (4, 'bets 235'), (3, 'calls 235'), (3, 'checks'), (4, 'checks'), (3, 'bets 250'), (4, 'raises 800 to 1050'), (3, 'folds')]",0
"2, 2, 2, 4","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds')]",0
"12, 3, 8, 1, 8, 3, 6, 3, 5, 2, 5, 3, 11, 2","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'folds'), (2, 'raises 150 to 250'), (3, 'folds'), (4, 'folds'), (5, 'calls 150'), (5, 'checks'), (2, 'checks'), (5, 'checks'), (2, 'checks'), (5, 'bets 275'), (2, 'calls 275'), (2, 'shows [9h Ad]')]",0
"3, 3, 5, 1","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds')]",1
"9, 2, 4, 4","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds')]",0
"13, 2, 4, 3, 9, 3, 5, 3, 13, 3","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 50'), (2, 'checks'), (1, 'checks'), (2, 'bets 150'), (1, 'folds')]",0
"7, 1, 13, 1, 1, 2, 4, 1, 2, 1, 2, 2, 10, 4","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'raises 125 to 225'), (1, 'folds'), (2, 'folds'), (3, 'calls 125'), (3, 'checks'), (0, 'bets 250'), (3, 'calls 250'), (3, 'checks'), (0, 'checks'), (3, 'bets 500'), (0, 'folds')]",0
"11, 2, 12, 2, 3, 3, 4, 3, 10, 3, 1, 4, 5, 1","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'raises 100 to 200'), (1, 'calls 200'), (2, 'folds'), (3, 'folds'), (4, 'calls 100'), (4, 'checks'), (0, 'bets 325'), (1, 'calls 325'), (4, 'raises 675 to 1000'), (0, 'folds'), (1, 'calls 675'), (4, 'checks'), (1, 'bets 2231'), (4, 'calls 2231'), (4, 'checks'), (1, 'checks'), (4, 'shows [6c Jc]')]",0
"4, 1, 9, 1, 8, 1, 11, 4, 13, 2, 12, 1, 1, 3","[(4, 'posts small blind 50'), (5, 'posts big blind 100'), (0, 'folds'), (1, 'raises 125 to 225'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'calls 125'), (5, 'checks'), (1, 'bets 210'), (5, 'calls 210'), (5, 'checks'), (1, 'checks'), (5, 'bets 690'), (1, 'folds')]",0
"4, 1, 1, 3","[(5, 'posts small blind 50'), (0, 'posts big blind 100'), (1, 'folds'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'folds')]",1
"12, 2, 9, 1","[(0, 'posts small blind 50'), (1, 'posts big blind 100'), (2, 'folds'), (3, 'folds'), (4, 'folds'), (5, 'raises 175 to 275'), (0, 'folds'), (1, 'folds')]",0
"2, 4, 3, 1, 7, 1, 1, 1, 1, 2, 11, 3, 5, 4","[(1, 'posts small blind 50'), (2, 'posts big blind 100'), (3, 'folds'), (4, 'folds'), (5, 'folds'), (0, 'folds'), (1, 'calls 50'), (2, 'checks'), (1, 'checks'), (2, 'bets 100'), (1, 'calls 100'), (1, 'checks'), (2, 'checks'), (1, 'checks'), (2, 'checks'), (1, 'shows [Tc 7c]')]",0
"1, 2, 13, 3","[(2, 'posts small blind 50'), (3, 'posts big blind 100'), (4, 'folds'), (5, 'folds'), (0, 'raises 150 to 250'), (1, 'folds'), (2, 'folds'), (3, 'folds')]",1
"1, 3, 4, 2, 11, 3, 5, 3, 12, 3, 3, 3, 9, 1","[(3, 'posts small blind 50'), (4, 'posts big blind 100'), (5, 'folds'), (0, 'folds'), (1, 'folds'), (2, 'folds'), (3, 'raises 200 to 300'), (4, 'calls 200'), (3, 'checks'), (4, 'checks'), (3, 'checks'), (4, 'checks'), (3, 'checks'), (4, 'bets 300'), (3, 'calls 300'), (4, 'shows [4c 6c]')]",0
